"Trial","Osm","Cu","H2S","Anoxia","Dead","Alive"
4,22.4,0,0.1,0,137,0
4,22.4,0,0.1,1,8,13
4,22.4,0,0.32,0,1,80
4,22.4,0,0.32,1,1,55
4,22.4,33.3,0,0,13,113
4,22.4,33.3,0,1,1,124
4,22.4,33.3,0.03,0,72,15
4,22.4,33.3,0.03,1,5,137
4,22.4,33.3,0.1,0,90,57
4,22.4,33.3,0.1,1,30,37
4,22.4,33.3,0.32,0,333,0
4,22.4,33.3,0.32,1,377,0
4,22.4,66.6,0,0,91,34
4,22.4,66.6,0,1,74,40
4,22.4,66.6,0.03,0,120,0
4,22.4,66.6,0.03,1,58,13
4,22.4,66.6,0.1,0,158,0
4,22.4,66.6,0.1,1,41,3
4,22.4,66.6,0.32,0,283,0
4,22.4,66.6,0.32,1,79,0
4,22.4,133.3,0,0,85,3
4,22.4,133.3,0,1,117,0
4,22.4,133.3,0.03,0,166,0
4,22.4,133.3,0.03,1,114,2
4,22.4,133.3,0.1,0,165,0
4,22.4,133.3,0.1,1,71,0
4,22.4,133.3,0.32,0,186,0
4,22.4,133.3,0.32,1,206,0
4,32,0,0,0,0,129
4,32,0,0,1,0,143
4,32,0,0.03,0,5,55
4,32,0,0.03,1,1,105
4,32,0,0.1,0,33,91
4,32,0,0.1,1,0,146
4,32,0,0.32,0,6,71
4,32,0,0.32,1,5,120
4,32,33.3,0,0,12,91
4,32,33.3,0,1,2,111
4,32,33.3,0.03,0,102,9
4,32,33.3,0.03,1,11,124
4,32,33.3,0.1,0,153,0
4,32,33.3,0.1,1,28,16
4,32,33.3,0.32,0,107,0
4,32,33.3,0.32,1,155,0
4,32,66.6,0,0,90,56
4,32,66.6,0,1,117,58
4,32,66.6,0.03,0,116,0
4,32,66.6,0.03,1,74,20
4,32,66.6,0.1,0,147,0
4,32,66.6,0.1,1,28,2
4,32,66.6,0.32,0,227,0
4,32,66.6,0.32,1,78,0
4,32,133.3,0,0,96,10
4,32,133.3,0,1,195,0
4,32,133.3,0.03,0,124,0
4,32,133.3,0.03,1,98,1
4,32,133.3,0.1,0,181,0
4,32,133.3,0.1,1,113,0
4,32,133.3,0.32,0,247,0
4,32,133.3,0.32,1,131,0
4,41.6,0,0,0,0,121
4,41.6,0,0,1,0,125
4,41.6,0,0.03,0,13,31
4,41.6,0,0.03,1,0,184
4,41.6,0,0.1,0,32,49
4,41.6,0,0.1,1,10,12
4,41.6,0,0.32,0,5,68
4,41.6,0,0.32,1,18,90
4,41.6,33.3,0,0,17,67
4,41.6,33.3,0,1,4,126
4,41.6,33.3,0.03,0,90,0
4,41.6,33.3,0.03,1,36,99
4,41.6,33.3,0.1,0,146,0
4,41.6,33.3,0.1,1,44,17
4,41.6,33.3,0.32,0,328,0
4,41.6,33.3,0.32,1,98,0
4,41.6,66.6,0,0,91,29
4,41.6,66.6,0,1,95,33
4,41.6,66.6,0.03,0,91,0
4,41.6,66.6,0.03,1,98,21
4,41.6,66.6,0.1,0,159,0
4,41.6,66.6,0.1,1,72,0
4,41.6,66.6,0.32,0,314,0
4,41.6,66.6,0.32,1,85,0
4,41.6,133.3,0,0,84,2
4,41.6,133.3,0,1,152,1
4,41.6,133.3,0.03,0,167,0
4,41.6,133.3,0.03,1,119,0
4,41.6,133.3,0.1,0,141,0
4,41.6,133.3,0.1,1,106,0
4,41.6,133.3,0.32,0,250,0
4,41.6,133.3,0.32,1,105,0
4,51.2,0,0,0,7,162
4,51.2,0,0,1,0,122
4,51.2,0,0.03,0,19,56
4,51.2,0,0.03,1,1,101
4,51.2,0,0.1,0,42,27
4,51.2,0,0.1,1,10,36
4,51.2,0,0.32,0,24,18
4,51.2,0,0.32,1,21,35
4,51.2,33.3,0,0,13,73
4,51.2,33.3,0,1,2,117
4,51.2,33.3,0.03,0,54,15
4,51.2,33.3,0.03,1,54,43
4,51.2,33.3,0.1,0,131,0
4,51.2,33.3,0.1,1,26,3
4,51.2,33.3,0.32,0,152,0
4,51.2,33.3,0.32,1,171,0
4,51.2,66.6,0,0,82,52
4,51.2,66.6,0,1,38,53
4,51.2,66.6,0.03,0,181,0
4,51.2,66.6,0.03,1,79,20
4,51.2,66.6,0.1,0,182,0
4,51.2,66.6,0.1,1,56,0
4,51.2,66.6,0.32,0,89,0
4,51.2,66.6,0.32,1,101,0
4,51.2,133.3,0,0,77,2
4,51.2,133.3,0,1,164,5
4,51.2,133.3,0.03,0,112,0
4,51.2,133.3,0.03,1,129,17
4,51.2,133.3,0.1,0,143,0
4,51.2,133.3,0.1,1,75,0
4,51.2,133.3,0.32,0,282,0
4,51.2,133.3,0.32,1,83,0
5,12.8,0,0,0,4,93
5,12.8,0,0,1,0,81
5,12.8,0,0.03,0,0,142
5,12.8,0,0.03,1,57,0
5,12.8,0,0.1,0,74,27
5,12.8,0,0.1,1,6,61
5,12.8,0,0.32,0,348,0
5,12.8,0,0.32,1,72,20
5,12.8,33.3,0,0,0,134
5,12.8,33.3,0,1,1,97
5,12.8,33.3,0.03,0,139,11
5,12.8,33.3,0.03,1,55,13
5,12.8,33.3,0.1,0,139,0
5,12.8,33.3,0.1,1,85,0
5,12.8,33.3,0.32,0,144,0
5,12.8,33.3,0.32,1,226,0
5,12.8,66.6,0,0,61,15
5,12.8,66.6,0,1,70,3
5,12.8,66.6,0.03,0,132,1
